subscription_id,account_id,start_date,end_date,plan_tier_subscription,seats_subscription,mrr_amount,arr_amount,is_trial_x,upgrade_flag,downgrade_flag,churn_flag_x,billing_frequency,auto_renew_flag,is_active,subscription_duration_days,avg_mrr_per_seat,revenue_ratio,account_name,industry,country,signup_date,referral_source,plan_tier_account,seats_account,is_trial_y,churn_flag_y,signup_year,signup_month,signup_day,signup_weekday,has_churned,usage_count_feat,usage_duration_secs_feat,error_count_feat,is_beta_feature_feat,beta_feature_usage_ratio,resolution_time_hours_ticket,first_response_time_minutes_ticket,satisfaction_score_ticket,total_tickets,num_escalated_tickets,total_churn_events,last_churn_date,total_refunds,any_reactivation,any_preceding_upgrade,any_preceding_downgrade,top_reason
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12 00:00:00,Enterprise,14,2786,33432,False,False,False,True,monthly,True,0,111,199.0,12.0,Company_224,DevTools,UK,2023-08-26,event,Pro,1,False,False,2023,8,26,5,False,63.0,26418.0,2.0,1.0,0.015873015873015872,33.25,56.5,3.5,4.0,0.0,0,,0.0,False,False,False,no_churn
S-0f6f44,A-9b9fe9,2024-06-11,0,Pro,17,833,9996,False,False,False,False,monthly,True,1,484,49.0,12.0,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,2023,9,28,3,True,36.0,6819.0,6.0,0.0,0.0,33.5,156.5,4.0,4.0,0.0,2,2024-09-04,27.92,False,False,False,features
S-51c0d1,A-659280,2024-11-25,0,Enterprise,62,0,0,True,True,False,False,annual,False,1,317,0.0,0.0,Company_417,FinTech,IN,2023-11-17,event,Enterprise,13,True,True,2023,11,17,4,True,25.0,13877.0,2.0,0.0,0.0,8.0,123.75,4.333333333333333,4.0,0.0,2,2024-11-22,27.75,False,False,False,features
S-f81687,A-e7a1e2,2024-11-23,2024-12-13 00:00:00,Enterprise,5,995,11940,False,False,False,True,monthly,True,0,20,199.0,12.0,Company_295,Cybersecurity,US,2024-06-23,event,Enterprise,3,False,False,2024,6,23,6,True,65.0,22943.0,5.0,0.0,0.0,45.0,37.0,4.0,1.0,0.0,3,2024-12-11,6.2,True,True,False,budget
S-cff5a2,A-ba6516,2024-01-10,0,Enterprise,27,5373,64476,False,False,False,False,monthly,True,1,637,199.0,12.0,Company_154,FinTech,US,2023-10-29,ads,Pro,27,False,False,2023,10,29,6,True,0.0,0.0,0.0,0.0,0.0,31.5,71.0,4.0,6.0,0.0,1,2024-03-17,0.0,False,False,False,budget
S-4b9b13,A-fa2041,2024-08-13,0,Pro,15,735,8820,False,False,False,False,monthly,True,1,421,49.0,12.0,Company_211,HealthTech,US,2024-05-29,organic,Pro,15,True,False,2024,5,29,2,True,49.0,12581.0,2.0,0.0,0.0,16.0,99.0,3.0,1.0,0.0,1,2024-07-13,0.0,False,False,False,competitor
S-dceac6,A-417d2f,2023-12-30,0,Enterprise,4,796,9552,False,False,False,False,annual,True,1,648,199.0,12.0,Company_285,Cybersecurity,IN,2023-07-04,partner,Pro,4,True,False,2023,7,4,1,True,33.0,13929.0,2.0,1.0,0.030303030303030304,43.5,80.5,4.333333333333333,6.0,0.0,1,2024-12-30,0.0,False,False,False,budget
S-8cad7b,A-5f2961,2024-12-23,0,Basic,16,304,3648,False,False,False,False,annual,True,1,289,19.0,12.0,Company_284,HealthTech,US,2024-11-22,partner,Basic,4,False,False,2024,11,22,4,True,39.0,14245.0,2.0,0.0,0.0,53.0,19.0,0.0,1.0,0.0,1,2024-11-28,6.6,False,False,False,pricing
S-24796e,A-cc8c8f,2024-11-27,0,Enterprise,23,4577,54924,False,False,False,False,annual,False,1,315,199.0,12.0,Company_482,DevTools,US,2024-06-16,ads,Enterprise,23,False,False,2024,6,16,6,True,61.0,12773.0,3.0,0.0,0.0,14.5,123.0,3.5,2.0,0.0,1,2024-09-12,0.0,False,True,False,budget
S-d0c344,A-80eeb6,2024-10-27,0,Pro,22,1078,12936,False,False,False,False,annual,False,1,346,49.0,12.0,Company_402,Cybersecurity,UK,2023-05-09,organic,Enterprise,22,False,False,2023,5,9,1,True,67.0,24269.0,8.0,2.0,0.029850746268656716,40.25,68.25,3.6666666666666665,4.0,1.0,2,2024-02-09,0.0,False,False,False,budget
S-477506,A-f03140,2024-02-06,0,Pro,27,1323,15876,False,False,False,False,annual,True,1,610,49.0,12.0,Company_209,DevTools,IN,2023-11-22,event,Pro,27,True,False,2023,11,22,2,True,93.0,33007.0,6.0,0.0,0.0,36.0,113.14285714285714,3.6666666666666665,7.0,0.0,1,2024-10-03,0.0,False,False,False,competitor
S-79a9e1,A-3a5ad8,2024-12-25,0,Enterprise,22,0,0,True,False,False,False,annual,True,1,287,0.0,0.0,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,2023,12,5,1,False,14.0,4036.0,0.0,0.0,0.0,44.75,53.5,4.5,4.0,0.0,0,,0.0,False,False,False,no_churn
S-59dc4b,A-f17767,2023-09-17,0,Pro,26,1274,15288,False,True,True,False,monthly,True,1,752,49.0,12.0,Company_123,DevTools,US,2023-01-30,event,Enterprise,1,True,True,2023,1,30,0,True,67.0,35026.0,6.0,0.0,0.0,36.333333333333336,115.0,4.0,3.0,1.0,1,2023-05-03,0.0,False,True,False,pricing
S-7acd8b,A-7920cc,2024-07-17,0,Basic,39,741,8892,False,False,False,False,annual,True,1,448,19.0,12.0,Company_412,Cybersecurity,FR,2023-11-23,ads,Pro,39,False,False,2023,11,23,3,False,66.0,15084.0,1.0,0.0,0.0,32.857142857142854,113.42857142857143,4.333333333333333,7.0,0.0,0,,0.0,False,False,False,no_churn
